活动,章名称,地点cn,地点jp,关卡特性,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
Free,第二特异点 永续疯狂帝国 七丘之城,亚壁街道,アッピア街道,"阳光,荒野,",敌人1|罗马士兵|联合罗马士兵|剑|14|1723,敌人1|罗马士兵|联合罗马士兵|剑|14|1723,敌人1|罗马士兵|联合罗马士兵|剑|20|2293,敌人1|罗马士兵|联合罗马士兵|弓|14|1672,敌人1|罗马士兵|联合罗马士兵|弓|14|1672,敌人1|罗马士兵|联合罗马士兵|弓|20|2225,敌人1|罗马士兵|联合罗马士兵|枪|20|2316,敌人1|罗马士兵|联合罗马士兵|枪|20|2316,敌人3|卡利古拉|影从者|狂|20|61212
Free,第二特异点 永续疯狂帝国 七丘之城,罗马,ローマ,"阳光,都市,街区,",敌人1|罗马士兵|莽汉|剑|16|1913,敌人1|罗马士兵|莽汉|剑|15|1818,,敌人1|罗马士兵|莽汉|枪|11|1452,敌人1|罗马士兵|莽汉|枪|14|1740,,敌人1|罗马士兵|莽汉|剑|12|1533,敌人1|罗马士兵|莽汉|剑|14|1723,敌人2|罗马士兵|莽汉|剑|24|2682
Free,第二特异点 永续疯狂帝国 七丘之城,佛罗伦萨,フロレンティア,"都市,街区,",敌人1|罗马士兵|联合罗马士兵|弓|16|1856,敌人1|罗马士兵|联合罗马士兵|弓|16|1856,敌人1|罗马士兵|联合罗马士兵|弓|16|1856,敌人1|罗马士兵|联合罗马士兵|枪|14|1740,敌人1|罗马士兵|联合罗马士兵|枪|14|1740,敌人1|罗马士兵|联合罗马士兵|弓|18|2041,敌人2|罗马士兵|联合罗马士兵|剑|24|2682,敌人1|罗马士兵|联合罗马士兵|弓|14|1672,敌人1|罗马士兵|联合罗马士兵|弓|15|1764
Free,第二特异点 永续疯狂帝国 七丘之城,梅迪奥兰,メディオラヌム,"街区,",敌人1|罗马士兵|联合罗马士兵|剑|16|1913,敌人1|罗马士兵|联合罗马士兵|剑|20|2293,,敌人1|罗马士兵|联合罗马士兵|枪|21|2421,敌人1|罗马士兵|联合罗马士兵|枪|21|2421,,敌人2|罗马士兵|联合罗马士兵|剑|30|3252,敌人1|罗马士兵|联合罗马士兵|枪|18|2124,敌人1|罗马士兵|联合罗马士兵|枪|18|2124
Free,第二特异点 永续疯狂帝国 七丘之城,马西利亚,マッシリア,"阳光,森林,",敌人1|罗马士兵|联合罗马士兵|剑|12|1533,敌人1|罗马士兵|联合罗马士兵|剑|12|1533,,敌人1|罗马士兵|联合罗马士兵|枪|14|1740,敌人1|罗马士兵|联合罗马士兵|枪|14|1740,,敌人3|布狄卡|影从者|骑|28|44222,敌人3|斯巴达克斯|影从者|狂|28|36240,
Free,第二特异点 永续疯狂帝国 七丘之城,高卢,ガリア,"阳光,荒野,",敌人1|魔偶||狂|10|9278,敌人1|罗马士兵|联合罗马士兵|弓|12|1488,敌人1|罗马士兵|联合罗马士兵|弓|12|1488,敌人1|罗马士兵|联合罗马士兵|枪|14|1740,敌人1|罗马士兵|联合罗马士兵|枪|12|1548,敌人1|罗马士兵|联合罗马士兵|枪|14|1740,敌人3|盖乌斯·尤利乌斯·恺撒|影从者|剑|33|48625,敌人1|魔偶||狂|22|19551,敌人1|魔偶||狂|22|19551
Free,第二特异点 永续疯狂帝国 七丘之城,有形之岛,形ある島,"地下,",敌人1|骷髅兵|骷髅兵|弓|18|4102,敌人1|骷髅兵|骷髅兵|弓|18|4102,敌人1|骷髅兵|骷髅兵|弓|18|4102,敌人1|骷髅兵|骷髅兵|弓|18|4102,敌人1|骷髅兵|骷髅兵|弓|18|4102,敌人1|骷髅兵|骷髅兵|枪|22|5097,敌人3|卡利古拉|影从者|狂|30|68422,,
Free,第二特异点 永续疯狂帝国 七丘之城,联军首都,連合首都,"城池,",敌人1|魔偶||狂|10|9278,敌人1|罗马士兵|联合罗马士兵|弓|24|2603,敌人1|罗马士兵|联合罗马士兵|弓|24|2603,敌人1|罗马士兵|联合罗马士兵队长|剑|30|3252,敌人1|石魔偶||狂|14|14852,,敌人3|大流士三世|影从者|狂|34|78771,,
Free,第二特异点 永续疯狂帝国 七丘之城,埃特纳火山,エトナ火山,"阳光,荒野,山,",敌人1|鬼魂||杀|16|9177,敌人1|鬼魂||杀|14|8105,,敌人1|鬼魂||杀|18|10249,敌人1|鬼魂||杀|18|10249,,敌人1|鬼魂||杀|16|9177,敌人2|鬼魂||杀|25|14056,敌人1|鬼魂||杀|16|9177
Free,第二特异点 永续疯狂帝国 七丘之城,不列颠尼亚,ブリタニア,"森林,",敌人1|狼人|狼人|枪|10|6342,敌人1|狼人|狼人|剑|10|6280,敌人1|狼人|狼人|枪|10|6342,敌人1|狼人|狼人|剑|10|6280,敌人1|狼人|狼人|枪|10|6342,,敌人1|狼人|狼人|杀|22|12447,敌人1|狼人|狼人|杀|20|11322,敌人2|狼人|狼人|剑|28|16653
Free,第二特异点 永续疯狂帝国 七丘之城,日耳曼尼亚,ゲルマニア,"森林,",敌人1|骷髅兵|骷髅兵|剑|26|5847,敌人1|骷髅兵|骷髅兵|枪|24|5501,敌人1|骷髅兵|骷髅兵|枪|24|5501,敌人1|骷髅兵|骷髅兵|剑|40|8667,敌人1|骷髅兵|骷髅兵|弓|42|8817,敌人1|骷髅兵|骷髅兵|剑|40|8667,敌人2|奇美拉||狂|50|125860,,
