顺序,事件名称
1,复刻：唠唠叨叨帝都圣杯奇谭轻量版
2,淑女·莱妮丝事件簿
3,空之境界 the Garden of sinners×Fate/Grand Order Arcade联动活动举办纪念 强化任务
4,迷乱鸣凤庄的考察
5,狩猎关卡第5弹
6,幕间物语活动 第9弹
7,ALL信长总进击唠唠叨叨最终本能寺2019
8,复刻：从者·夏日·庆典！轻量版
9,从者强化任务 第11弹
10,拜见！拉斯维加斯御前比试～泳装剑豪七色决胜！
11,幕间物语活动 第10弹
12,BATTLE IN NEW YORK 2019
13,复刻：神秘之国的ONILAND!!～鬼王与神威的黄金～轻量版
14,Saber Wars 2 ～前往初始的宇宙～
15,狩猎关卡第6弹
16,圣诞节2019南丁格尔的圣诞颂歌
17,幕间物语活动 第11弹
18,Lostbelt No.5 神代巨神海洋 亚特兰蒂斯
19,复刻：雀之旅馆的活动日志～阎魔亭繁盛记～轻量版
20,拯救！亚马逊点COM～CEO大危机2020～
21,幕间物语活动 第12弹
22,Fate/GrandOrder-EpicofRemnant-亚种特异点Ⅰ恶性隔绝魔境新宿新宿幻灵事件漫画发售纪念活动
23,情人节2020 非同寻常的情人节 ～紫式部与派对辣妹5人军团～
24,艾尤的春风～魔女与愉快的伙伴与新的冒险～
25,狩猎关卡第7弹
26,TV动画「Fate/Grand Order -绝对魔兽战线巴比伦尼亚-」播放纪念活动 第4弹
27,复刻版:Apocrypha/Inheritance of Glory -Triumphal-
28,复刻:ALL信长总进击 唠唠叨叨最终本能寺2019 轻量版
